"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,   "rms[A_RhoW]"  ,    "rms[A_E]"    ,    "Sens_Geo"    ,    "Sens_AoA"    ,    "Sens_Mach"   ,   "Sens_Press"   ,    "Sens_Temp"   
          0,           0,           0,      -4.900437736,      -4.693918069,      -5.113012922,      -4.648747996,       -4.73979449,                 0,  -9.095598838e-08,    -0.01722782504,    0.000390862563,                 0
          0,           0,           1,      -4.706819005,      -4.577328267,      -4.810068209,       -4.48958804,       -4.89387481,                 0,   6.719719513e-07,    -0.01537354713,    0.002321819115,                 0
          0,           0,           2,      -4.455592299,      -4.357593364,      -4.564158445,      -4.353248216,      -4.922084779,                 0,   5.582048607e-06,    -0.01071978014,    0.007300698941,                 0
          0,           0,           3,      -4.274436792,      -4.179744365,      -4.403594644,      -4.242033143,      -4.875576182,                 0,   2.028991279e-05,   -0.002596153458,     0.01618386504,                 0
          0,           0,           4,       -4.16116147,      -4.058019462,      -4.313603623,      -4.182995545,      -4.805920817,                 0,   5.165727032e-05,    0.008473386643,     0.02850782034,                 0
          0,           0,           5,      -4.099477201,       -3.98225905,      -4.273600645,      -4.176617731,      -4.721197622,                 0,   0.0001066197513,     0.02104479468,     0.04265982334,                 0
          0,           0,           6,      -4.076199612,      -3.941777835,      -4.264511778,      -4.209317709,       -4.64466009,                 0,   0.0001910652873,     0.03323612871,     0.05631523055,                 0
          0,           0,           7,      -4.080761698,      -3.927455177,       -4.26762668,      -4.248100216,       -4.59381516,                 0,   0.0003087980161,     0.04322841908,     0.06695228811,                 0
          0,           0,           8,      -4.103092392,      -3.930839221,      -4.267698825,      -4.246624438,      -4.572483607,                 0,   0.0004608377377,     0.04975778761,     0.07242573735,                 0
          0,           0,           9,       -4.13232805,       -3.94342078,      -4.259074453,       -4.20030584,      -4.575984785,                 0,   0.0006452291344,     0.05245026023,     0.07144454399,                 0
          0,           0,          10,       -4.15733416,      -3.956740185,      -4.244658709,      -4.145393543,      -4.594723081,                 0,   0.0008573673208,     0.05188889488,     0.06381476455,                 0
          0,           0,          11,      -4.169774821,       -3.96373017,       -4.22843009,      -4.103601584,      -4.616639218,                 0,     0.00109073011,     0.04940190042,      0.0503908489,                 0
          0,           0,          12,      -4.167570798,      -3.960767431,      -4.211755456,      -4.077627324,       -4.63132537,                 0,    0.001337818194,     0.04665281252,     0.03276772126,                 0
          0,           0,          13,      -4.154569322,      -3.948577676,      -4.194885344,      -4.063619863,       -4.63408012,                 0,    0.001591065477,     0.04517578113,     0.01282487138,                 0
          0,           0,          14,      -4.136745023,      -3.930862159,      -4.178943764,      -4.057541197,      -4.625573462,                 0,    0.001843533805,     0.04600842031,   -0.007725391772,                 0
          0,           0,          15,      -4.119050713,      -3.911937704,      -4.165922944,      -4.057099075,      -4.608693103,                 0,    0.002089310962,     0.04952439099,    -0.02765204883,                 0
          0,           0,          16,      -4.104496182,      -3.895172975,      -4.157516919,      -4.061468248,       -4.58694462,                 0,    0.002323627919,     0.05548216528,     -0.0463164192,                 0
          0,           0,          17,      -4.094444978,      -3.882571407,       -4.15433059,      -4.070244111,      -4.564166763,                 0,    0.002542784349,     0.06322828928,    -0.06359674056,                 0
          0,           0,          18,      -4.089147137,      -3.874970261,      -4.155892856,      -4.082669718,      -4.543867354,                 0,    0.002744004529,     0.07195648316,    -0.07970079838,                 0
          0,           0,          19,      -4.088168287,      -3.872388424,      -4.161124941,      -4.097465552,       -4.52840199,                 0,    0.002925319649,     0.08093331131,    -0.09495564166,                 0
          0,           0,          20,       -4.09068297,      -3.874329003,      -4.168863742,      -4.113080448,      -4.518694017,                 0,    0.003085508153,      0.0896383688,     -0.1096416188,                 0
          0,           0,          21,       -4.09567217,      -3.879999814,      -4.178213576,      -4.128069821,      -4.514490014,                 0,    0.003224070375,     0.09780837768,     -0.1239012992,                 0
          0,           0,          22,      -4.102065199,      -3.888467897,      -4.188659786,      -4.141392774,      -4.514820805,                 0,    0.003341195243,      0.1054048642,     -0.1377212127,                 0
          0,           0,          23,      -4.108852532,      -3.898772089,      -4.199996897,      -4.152544135,      -4.518436491,                 0,    0.003437689947,      0.1125390555,     -0.1509648037,                 0
          0,           0,          24,      -4.115180885,      -3.910010952,      -4.212179946,      -4.161534709,      -4.524124508,                 0,    0.003514867649,      0.1193872703,     -0.1634291871,                 0
          0,           0,          25,      -4.120427884,       -3.92141317,      -4.225190841,      -4.168774195,      -4.530892085,                 0,    0.003574406746,      0.1261208085,     -0.1749022832,                 0
          0,           0,          26,      -4.124245131,      -3.932388483,      -4.238959388,      -4.174909107,      -4.538029223,                 0,    0.003618202106,      0.1328620651,     -0.1852056041,                 0
          0,           0,          27,      -4.126559332,      -3.942552879,      -4.253336495,      -4.180656551,      -4.545088818,                 0,    0.003648226552,      0.1396677987,     -0.1942171232,                 0
          0,           0,          28,      -4.127531059,       -3.95172369,       -4.26810144,      -4.186666532,      -4.551826808,                 0,    0.003666414543,      0.1465334771,     -0.2018756998,                 0
