"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,        -4.6185565,      -4.646002352,      -5.074567948,      -4.556809491,      -4.011390499
          0,           0,           1,      -4.696985556,      -4.485086527,      -4.890058711,      -4.607340468,      -4.056774139
          0,           0,           2,      -4.595123637,      -4.424421414,      -4.635180771,      -4.440260228,      -3.980737225
          0,           0,           3,      -4.540793044,        -4.4579531,      -4.522764125,       -4.41081939,      -3.948555199
          0,           0,           4,      -4.494955491,      -4.450097564,      -4.486716525,       -4.37143521,      -3.902656416
          0,           0,           5,      -4.451855949,      -4.420404703,      -4.472730259,      -4.325616543,      -3.858011049
          0,           0,           6,      -4.429899577,      -4.402321311,        -4.4510936,      -4.298410898,      -3.840361198
          0,           0,           7,      -4.430821482,      -4.408769067,      -4.428686451,      -4.289436788,      -3.848460134
          0,           0,           8,      -4.438442001,       -4.42752649,      -4.418345018,      -4.295221046,       -3.86147211
          0,           0,           9,      -4.445996163,      -4.453059294,      -4.421834239,      -4.310308247,      -3.871256605
          0,           0,          10,      -4.454523321,      -4.486428762,      -4.436305545,      -4.329183723,      -3.880852471
          0,           0,          11,       -4.46625805,      -4.523343095,      -4.456718313,      -4.348546492,      -3.894156056
          0,           0,          12,       -4.48205777,      -4.556728003,      -4.477170372,      -4.368091009,      -3.912294052
          0,           0,          13,      -4.499989052,      -4.581561162,      -4.493961245,      -4.389659876,      -3.932698087
          0,           0,          14,      -4.517495359,      -4.596711473,      -4.507041017,      -4.414741995,      -3.951993782
          0,           0,          15,      -4.534444832,      -4.605741179,      -4.518419009,      -4.442650846,      -3.969793164
          0,           0,          16,      -4.552812397,      -4.614481703,      -4.530393155,      -4.471012198,      -3.988401139
          0,           0,          17,      -4.574216172,      -4.627355286,      -4.544584953,      -4.497536053,      -4.009926043
          0,           0,          18,      -4.598646807,      -4.645773448,      -4.561799803,      -4.521568196,       -4.03467425
          0,           0,          19,      -4.624808946,      -4.668773514,      -4.582142476,      -4.544169835,      -4.061472494
          0,           0,          20,      -4.651110434,      -4.694379629,      -4.605225446,      -4.567021234,      -4.088727776
          0,           0,          21,      -4.676482162,      -4.720788432,      -4.630364196,      -4.591269201,      -4.115310013
          0,           0,          22,      -4.700660191,      -4.746938119,      -4.656857774,      -4.617043646,      -4.140881364
          0,           0,          23,      -4.724010078,      -4.772594376,      -4.684083088,      -4.643613411,      -4.165752833
          0,           0,          24,      -4.747209214,       -4.79805156,      -4.711652916,      -4.670002484,      -4.190568725
          0,           0,          25,      -4.770905666,      -4.823703492,      -4.739472597,      -4.695562236,      -4.215939399
          0,           0,          26,      -4.795480885,      -4.849804466,      -4.767682952,      -4.720277383,       -4.24219177
          0,           0,          27,      -4.821007845,       -4.87643959,      -4.796446955,      -4.744640574,      -4.269332735
          0,           0,          28,      -4.847318139,      -4.903588164,      -4.825852036,      -4.769327857,      -4.297137884
